26/06/2023 16:12:39 - Erro ao inserir a linha 92, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 93, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 94, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 95, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 96, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 97, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 98, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 99, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 100, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 101, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 102, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 103, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 104, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 105, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 106, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 107, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 108, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 109, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 110, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 111, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 112, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 113, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 114, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 115, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 116, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 117, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 118, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 119, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 120, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 121, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 122, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 123, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 124, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 125, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 126, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 127, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 128, os dados já existem
